fecha,indicativo,nombre,provincia,tmin,longitud,latitud,altitud
2021-01-07,0016A,REUS AEROPUERTO,TARRAGONA,-0.1,1.163611111111111,41.144999999999996,71
2021-01-07,8058X,OLIVA,VALENCIA,5.6,-0.09583333333333333,38.928888888888885,5
2021-01-07,0367,GIRONA AEROPUERTO,GIRONA,0.5,2.763333333333333,41.91166666666666,143
2021-01-07,7247X,PINOSO,ALICANTE,2,-1.0380555555555557,38.39972222222222,575
2021-01-07,3200,GETAFE,MADRID,-0.6,-3.7222222222222223,40.29944444444444,620
2021-01-07,4103X,TOMELLOSO,CIUDAD REAL,0,-3.0075,39.16916666666666,662
2021-01-07,3175,TORREJÓN DE ARDOZ,MADRID,-5.2,-3.443611111111111,40.48861111111111,607
2021-01-07,3129,MADRID AEROPUERTO,MADRID,-4.4,-3.5555555555555554,40.46666666666667,609
2021-01-07,4067,MADRIDEJOS,TOLEDO,-1.4,-3.5283333333333333,39.49194444444444,690
2021-01-07,1014A,SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,-2.6,-1.7922222222222222,43.356944444444444,4
2021-01-07,7031X,SAN JAVIER AEROPUERTO,MURCIA,6.2,-0.8058333333333334,37.77833333333333,4
2021-01-07,7209,LORCA,MURCIA,2.8,-1.6872222222222222,37.65472222222222,312
2021-01-07,3519X,PLASENCIA,CACERES,0,-6.085833333333333,40.043055555555554,415
2021-01-07,2755X,BENAVENTE,ZAMORA,-5.6,-5.666666666666667,42.01083333333333,715
2021-01-07,8175,ALBACETE BASE AÉREA,ALBACETE,-0.2,-1.856388888888889,38.95416666666667,702
2021-01-07,9244X,SOS DEL REY CATÓLICO,ZARAGOZA,-7.1,-1.213611111111111,42.490833333333335,626
2021-01-07,6277B,ADRA,ALMERIA,8.5,-3.0205555555555557,36.74722222222222,8
